수준,동형어번호,표출 어휘
고급,0,가01
중급,0,-가02
고급,0,-가04
고급,0,-가06
초급,0,가게
초급,0,가격02
고급,0,가계02
고급,0,가곡
고급,0,가공01
고급,0,가구01
초급,0,가구02
고급,0,가급적01/가급적02
고급,0,가까스로
중급,0,가까이01/가까이02
초급,0,가깝다
중급,0,가꾸다
초급,0,가끔
중급,0,가난
고급,0,가냘프다
고급,0,가누다
고급,0,가느다랗다
초급,0,가늘다
고급,0,가늠
중급,0,가능
중급,0,가능성
초급,0,가다01
고급,0,가다듬다
고급,0,가닥
고급,0,가담
고급,0,가동
초급,0,가득
중급,0,가득하다
중급,0,가득히
고급,0,가뜩이나
중급,0,가라앉다
고급,0,가라앉히다
중급,0,-가량
고급,0,가려내다
중급,0,가렵다
고급,0,가령
중급,0,가로01/가로02
중급,0,가로등
중급,0,가로막다
고급,0,가로수
고급,0,가로지르다
고급,0,가로채다
중급,0,가루
중급,0,가르다
초급,0,가르치다
고급,0,가르침
고급,0,가리다01
중급,0,가리다02
중급,0,가리다03
초급,0,가리키다
중급,0,가만01
중급,0,가만있다
중급,0,가만히
고급,0,가면
고급,0,가문
중급,0,가뭄
초급,0,가방
초급,0,가볍다
고급,0,가부장적01/가부장적02
고급,0,가쁘다
고급,0,가사01
중급,0,가사03
고급,0,가상
고급,0,가설03
고급,0,가세01
고급,0,가속
고급,0,가속화
초급,0,가수
중급,0,가스
중급,0,가스레인지
초급,0,가슴
중급,0,가습기
고급,0,가시01
고급,0,가시다
고급,0,가식적01/가식적02
고급,0,가야금
고급,0,가열
고급,0,가엾다
고급,0,가옥
초급,0,가요
고급,0,가요계
초급,0,가운데
초급,0,가위01
초급,0,가을
중급,0,가입
중급,0,가입자
초급,0,가장01
중급,0,가장02
고급,0,가장자리
중급,0,가전제품
중급,0,가정01
중급,0,가정02
중급,0,가정주부
초급,0,가져가다
중급,0,가져다주다
초급,0,가져오다
초급,0,가족
중급,0,가죽
고급,0,가중
중급,0,가지01
초급,0,가지03
초급,0,가지다01
고급,0,가지런히
중급,0,가짜
고급,0,가창력
고급,0,가책
고급,0,가축
고급,0,가출
중급,0,가치
중급,0,가치관
중급,0,가톨릭
고급,0,가파르다
고급,0,가하다01
고급,0,가해자
고급,0,가혹00
고급,0,가훈
고급,0,가히
중급,0,각01
고급,0,각02
초급,0,각각02/각각01
고급,0,각계
고급,0,각계각층
고급,0,각광
중급,0,각국
고급,0,각기01/각기02
고급,0,각도
고급,0,각박하다
고급,0,각별하다
고급,0,각별히
고급,0,각본
고급,0,각성
고급,0,각양각색
중급,0,각오
중급,0,각자01/각자02
중급,0,각종
고급,0,각지
중급,0,-간
중급,0,간01
중급,0,간03
중급,0,간04
고급,0,간간이
중급,0,간격
고급,0,간결하다
고급,0,간과하다
초급,0,간단하다
초급,0,간단히
고급,0,간담회
고급,0,간략하다
고급,0,간밤
고급,0,간부
중급,0,간섭
고급,0,간소하다
초급,0,간식
중급,0,간신히
초급,0,간장01
중급,0,간절하다
고급,0,간절히
고급,0,간접
중급,0,간접적01/간접적02
고급,0,간주01
중급,0,간지럽다
고급,0,간직00
고급,0,간첩
중급,0,간판
중급,0,간편하다
중급,0,간호
초급,0,간호사
중급,0,간혹02/간혹01
중급,0,갇히다
중급,0,갈다01
고급,0,갈다02
고급,0,갈대
중급,0,갈등
중급,0,갈라지다
고급,0,갈래
고급,0,갈망
초급,0,갈비
초급,0,갈비탕
초급,0,갈색
중급,0,갈수록
초급,0,갈아입다
초급,0,갈아타다
중급,0,갈증
고급,0,갈피
중급,0,-감
초급,0,감01
고급,0,감03
중급,0,감각
고급,0,감격
고급,0,감격스럽다
고급,0,감금
초급,0,감기
고급,0,감기다02
초급,0,감기약
초급,0,감다01
초급,0,감다02
중급,0,감다03
고급,0,감당
중급,0,감독
고급,0,감돌다
중급,0,감동
중급,0,감동적01/감동적02
고급,0,감량
고급,0,감면
고급,0,감명
고급,0,감미롭다
초급,0,감사01
고급,0,감사03
고급,0,감상01
중급,0,감상03
중급,0,감상문
고급,0,감상적01/감상적02
고급,0,감성
고급,0,감성적01/감성적02
중급,0,감소
고급,0,감소세00
고급,0,감수01
고급,0,감수성
중급,0,감시
중급,0,감싸다
고급,0,감안
고급,0,감언이설
고급,0,감염
중급,0,감옥
고급,0,감원
초급,0,감자01
중급,0,감정01
고급,0,감정적01/감정적02
고급,0,감지
고급,0,감쪽같이
고급,0,감촉
중급,0,감추다
고급,0,감축
고급,0,감탄
고급,0,감탄사
고급,0,감하다
고급,0,감회
중급,0,감히
고급,0,갑01
고급,0,갑갑하다
초급,0,갑자기
중급,0,갑작스럽다
초급,0,값
중급,0,값싸다
고급,0,값어치
고급,0,값지다
고급,0,갓02
초급,0,강
고급,0,강간
고급,0,강국
고급,0,강당
고급,0,강대국
고급,0,강도02
중급,0,강도03
고급,0,강력00
고급,0,강력히
고급,0,강렬하다
중급,0,강물
중급,0,강사02
고급,0,강산01
고급,0,강세
중급,0,강수량
초급,0,강아지
고급,0,강압
고급,0,강연
중급,0,강요
고급,0,강우량
중급,0,강의
중급,0,강의실
고급,0,강인하다
고급,0,강자
고급,0,강점02
중급,0,강제
고급,0,강제적01/강제적02
중급,0,강조
고급,0,강좌
고급,0,강직하다
고급,0,강풍
초급,0,강하다02
고급,0,강행
고급,0,강화
중급,0,갖가지
초급,0,갖다01
고급,0,갖은
중급,0,갖추다
초급,0,같다
초급,0,같이01
초급,0,갚다
초급,0,개01
초급,0,개03
고급,0,개강
고급,0,개개인
고급,0,개관01
고급,0,개괄적01/개괄적02
중급,0,개구리
고급,0,개국01
고급,0,개그
중급,0,개나리
중급,0,개념
중급,0,개다01
중급,0,개다03
고급,0,개량
고급,0,개막
고급,0,개막식
중급,0,개미
중급,0,개발
중급,0,개방
고급,0,개방적01/개방적02
중급,0,개별
고급,0,개별적01/개별적02
고급,0,개봉
중급,0,개선01
고급,0,개설
중급,0,개성
고급,0,개수
고급,0,개시02
고급,0,개신교
고급,0,개업
고급,0,개요
고급,0,개운하다
초급,0,개월
중급,0,개인
중급,0,개인적01/개인적02
고급,0,개인주의
고급,0,개입
고급,0,개작
고급,0,개장
고급,0,개정01
고급,0,개조01
고급,0,개척
고급,0,개체
중급,0,개최
고급,0,개통
고급,0,개편
고급,0,개표02
중급,0,개혁
중급,0,-객
중급,0,객관적01/객관적02
고급,0,객석
고급,0,객실
고급,0,객지
중급,0,걔
초급,0,거01
고급,0,거금01
초급,0,거기
중급,0,거꾸로
고급,0,거느리다
고급,0,거닐다
중급,0,거대
고급,0,거동
중급,0,거두다
중급,0,거들다
고급,0,거듭
고급,0,거듭나다
고급,0,거뜬하다
중급,0,거래
중급,0,거래처
고급,0,거론
고급,0,거룩하다
고급,0,거르다01
고급,0,거르다02
초급,0,거리01
고급,0,거리02
초급,0,거리03
고급,0,거리낌
고급,0,거만
고급,0,거문고
중급,0,거미
고급,0,거부02
고급,0,거부감
중급,0,거북이
고급,0,거북하다
고급,0,거세다
고급,0,거스르다01
중급,0,거스름돈
고급,0,거슬리다
고급,0,거시적01/거시적02
초급,0,거실
고급,0,거액
초급,0,거울
초급,0,거의02/거의01
고급,0,거인
초급,0,거절
고급,0,거주
고급,0,거주자
중급,0,거지
중급,0,거짓
초급,0,거짓말
고급,0,거창하다
고급,0,거처
중급,0,거치다
중급,0,거칠다
고급,0,거침없이
중급,0,거품
초급,0,걱정
고급,0,걱정거리
중급,0,걱정스럽다
고급,0,건00/건01
초급,0,건강
고급,0,건국
고급,0,건기
중급,0,건너
초급,0,건너가다
초급,0,건너다
초급,0,건너편
중급,0,건널목
중급,0,건네다
중급,0,건네주다
중급,0,건드리다
고급,0,건립
고급,0,건망증
초급,0,건물
고급,0,건방지다
중급,0,건설
고급,0,건설업
고급,0,건성01
고급,0,건수
고급,0,건의
고급,0,건장하다
고급,0,건전
중급,0,건전지
중급,0,건조02
중급,0,건지다
중급,0,건축
고급,0,건축가
고급,0,건축물
초급,0,걷다02
중급,0,걷다03
중급,0,걷다04
고급,0,걷어차다
고급,0,걷잡다
초급,0,걸다02
중급,0,걸레
고급,0,걸려들다
초급,0,걸리다01
고급,0,걸림돌
고급,0,걸맞다
초급,0,걸어가다
초급,0,걸어오다01
초급,0,걸음
고급,0,걸음걸이
고급,0,걸작
중급,0,걸치다
고급,0,걸터앉다
고급,0,걸핏하면
고급,0,검
고급,0,검거
중급,0,검다
고급,0,검문
중급,0,검사01
초급,0,검사02
중급,0,검색
고급,0,검소
초급,0,검은색
초급,0,검정01
고급,0,검증
고급,0,검진
고급,0,검찰
중급,0,검토
중급,0,겁
중급,0,겁나다
고급,0,겁내다
초급,0,것
초급,0,겉
중급,0,겉모습
고급,0,겉보기
중급,0,겉옷
중급,0,게01
중급,0,게다가01
중급,0,게시
중급,0,게시판
초급,0,게으르다
고급,0,게을리하다
초급,0,게임
고급,0,게재
고급,0,겨냥
고급,0,겨누다
고급,0,겨드랑이
고급,0,겨루다
고급,0,겨를
중급,0,겨우
초급,0,겨울
중급,0,겨울철
고급,0,격01/격02
중급,0,격려
고급,0,격렬하다
고급,0,격리
고급,0,격세지감
고급,0,격식
고급,0,격언
고급,0,격주
고급,0,격차
중급,0,겪다
고급,0,견고하다
고급,0,견과
중급,0,견디다
고급,0,견문
고급,0,견본
고급,0,견제
고급,0,견주다
중급,0,견학
중급,0,견해
